filename,width,height,class,xmin,ymin,xmax,ymax
n02676566_9403.JPEG,333,500,guitar,58,1,328,500
n02676566_7477.JPEG,372,500,guitar,1,39,370,499
n02676566_4604.JPEG,550,491,guitar,7,6,544,215
n02676566_4604.JPEG,550,491,guitar,271,121,481,488
n02676566_9532.JPEG,500,333,guitar,52,55,479,299
n02676566_6390.JPEG,500,333,guitar,1,1,500,333
n02676566_3766.JPEG,422,930,guitar,40,70,355,894
n02676566_1240.JPEG,360,480,guitar,63,2,301,465
n02676566_1345.JPEG,450,1105,guitar,46,33,411,1079
n02676566_6518.JPEG,500,341,guitar,19,10,177,341
n02676566_3317.JPEG,300,194,guitar,6,1,293,190
n02676566_5256.JPEG,800,600,guitar,38,56,792,583
n02676566_8078.JPEG,500,332,guitar,1,1,474,332
n02676566_6559.JPEG,500,397,guitar,1,51,498,386
n02676566_8069.JPEG,500,333,guitar,50,98,450,249
n02676566_5966.JPEG,334,500,guitar,63,8,258,474
n02676566_5597.JPEG,500,375,guitar,269,99,449,246
n02676566_8040.JPEG,375,500,guitar,104,31,270,465
n02676566_1757.JPEG,244,322,guitar,123,13,241,321
n02676566_1757.JPEG,244,322,guitar,73,94,145,309
n02676566_3077.JPEG,300,300,guitar,1,1,267,300
n02676566_4144.JPEG,700,283,guitar,1,1,695,279
n02676566_8842.JPEG,500,377,guitar,78,169,483,370
n02676566_4019.JPEG,380,572,guitar,77,36,317,542
n02676566_1992.JPEG,450,242,guitar,18,35,434,199
n02676566_5586.JPEG,375,500,guitar,56,67,348,495
n02676566_8902.JPEG,500,375,guitar,170,74,481,375
n02676566_7612.JPEG,500,333,guitar,23,84,484,319
n02676566_5460.JPEG,375,500,guitar,86,1,279,500
n02676566_285.JPEG,205,308,guitar,1,79,198,301
n02676566_215.JPEG,467,467,guitar,20,97,282,397
n02676566_7103.JPEG,500,379,guitar,36,206,474,379
n02676566_2256.JPEG,402,600,guitar,1,1,393,600
n02676566_9044.JPEG,333,500,guitar,3,83,308,500
